,path,source,actor,gender,intensity,statement,repitition,emotion,chroma_stft,rmse,spectral_centroid,spectral_bw,rolloff,zc_rate,mfcc
0,Speech data/Actor_01/03-01-01-01-01-01-01.wav,03,01,male,normal,0,0,01,0.5988003611564636,0.002256858628243208,3435.943087800734,2600.9297913619184,6264.656290974651,0.32623675152972026,-64.16030883789062
1,Speech data/Actor_01/03-01-01-01-01-02-01.wav,03,01,male,normal,0,1,01,0.5784521698951721,0.0024195893201977015,3231.037280429149,2646.9812709399953,6162.8326416015625,0.3407864040798611,-63.382102966308594
2,Speech data/Actor_01/03-01-01-01-02-01-01.wav,03,01,male,normal,1,0,01,0.5875852108001709,0.00281025399453938,3203.1545278066183,2605.181240553175,6117.338659408245,0.3568608710106383,-63.452850341796875
3,Speech data/Actor_01/03-01-01-01-02-02-01.wav,03,01,male,normal,1,1,01,0.5732466578483582,0.0026179752312600613,3080.4830812648806,2644.1917432253,6094.210837705292,0.366200245209854,-62.512489318847656
4,Speech data/Actor_01/03-01-02-01-01-01-01.wav,03,01,male,normal,0,0,02,0.5610839128494263,0.0016538103809580207,3192.620353772004,2601.322628971106,6003.47110523897,0.31312231924019607,-65.7827377319336
5,Speech data/Actor_01/03-01-02-01-01-02-01.wav,03,01,male,normal,0,1,02,0.594368577003479,0.0017526993760839105,3132.2801176652406,2538.4720306340637,5753.920335036058,0.27248910757211536,-63.841697692871094
6,Speech data/Actor_01/03-01-02-01-02-01-01.wav,03,01,male,normal,1,0,02,0.5684073567390442,0.002620992250740528,3207.4053769652637,2491.7951491996137,5934.750426841887,0.3219584281870861,-62.78265380859375
7,Speech data/Actor_01/03-01-02-01-02-02-01.wav,03,01,male,normal,1,1,02,0.5617512464523315,0.0026705062482506037,3059.5065064201112,2532.330711582638,5819.63525390625,0.3610026041666667,-62.31162643432617
8,Speech data/Actor_01/03-01-02-02-01-01-01.wav,03,01,male,strong,0,0,02,0.5903984904289246,0.0015012858202680945,3135.4043171563376,2542.262773521105,5752.258758544922,0.2532867431640625,-65.13627624511719
9,Speech data/Actor_01/03-01-02-02-01-02-01.wav,03,01,male,strong,0,1,02,0.5664644837379456,0.0016126611735671759,3103.2266766029106,2482.234326171221,5584.256598852962,0.28271484375,-63.478431701660156
10,Speech data/Actor_01/03-01-02-02-02-01-01.wav,03,01,male,strong,1,0,02,0.5109922289848328,0.0020961472764611244,3080.0963114968963,2452.232416599899,5493.451397235577,0.30331655649038464,-63.00020217895508
11,Speech data/Actor_01/03-01-02-02-02-02-01.wav,03,01,male,strong,1,1,02,0.540584921836853,0.0021338341757655144,3182.005579985493,2436.9317534000866,5685.761380057804,0.29048782966040465,-63.0822639465332
12,Speech data/Actor_01/03-01-03-01-01-01-01.wav,03,01,male,normal,0,0,03,0.567374050617218,0.004264778457581997,3036.6490557473985,2555.0180947344293,5854.08837890625,0.372548828125,-59.935821533203125
13,Speech data/Actor_01/03-01-03-01-01-02-01.wav,03,01,male,normal,0,1,03,0.5594238042831421,0.004907564260065556,2871.729250841581,2462.650942391337,5589.4453125,0.29193684895833333,-58.009918212890625
14,Speech data/Actor_01/03-01-03-01-02-01-01.wav,03,01,male,normal,1,0,03,0.5363652110099792,0.0037504551000893116,3130.758247071154,2495.507643772341,5861.675666360294,0.3223198784722222,-61.164512634277344
15,Speech data/Actor_01/03-01-03-01-02-02-01.wav,03,01,male,normal,1,1,03,0.5244176983833313,0.0037543780636042356,3155.0100397535903,2500.076211543446,5856.358337402344,0.369134521484375,-59.94873046875
16,Speech data/Actor_01/03-01-03-02-01-01-01.wav,03,01,male,strong,0,0,03,0.49732762575149536,0.0064420271664857864,3137.0404632230648,2557.448610109866,5950.341796875,0.3326822916666667,-59.10309982299805
17,Speech data/Actor_01/03-01-03-02-01-02-01.wav,03,01,male,strong,0,1,03,0.48877984285354614,0.00820880476385355,2592.308325200172,2360.0972447074855,4995.7717020800155,0.24654782046178345,-55.10394287109375
18,Speech data/Actor_01/03-01-03-02-02-01-01.wav,03,01,male,strong,1,0,03,0.47180846333503723,0.010932883247733116,2968.9845299808967,2421.788221185825,5511.866670496323,0.27724609375,-51.676292419433594
19,Speech data/Actor_01/03-01-03-02-02-02-01.wav,03,01,male,strong,1,1,03,0.49741193652153015,0.010222164914011955,3158.102896051254,2509.477351921467,5908.204273897059,0.3043514476102941,-53.96636199951172
20,Speech data/Actor_01/03-01-04-01-01-01-01.wav,03,01,male,normal,0,0,04,0.5458292961120605,0.0021515570115298033,3125.948253110059,2528.2555071491843,5849.183305487575,0.2650484751506024,-63.03186798095703
21,Speech data/Actor_01/03-01-04-01-01-02-01.wav,03,01,male,normal,0,1,04,0.5411967635154724,0.00200246786698699,3048.9516875156655,2568.2267931290853,5934.70458984375,0.2976264458198052,-63.3218879699707
22,Speech data/Actor_01/03-01-04-01-02-01-01.wav,03,01,male,normal,1,0,04,0.6071203351020813,0.0017527375603094697,3384.5305392640544,2518.986639644018,6161.70468361962,0.22637818191225165,-68.36646270751953
23,Speech data/Actor_01/03-01-04-01-02-02-01.wav,03,01,male,normal,1,1,04,0.5623515844345093,0.0022933287546038628,3293.386470330855,2542.8253518578704,6128.039885220463,0.2961292005565068,-65.24180603027344
24,Speech data/Actor_01/03-01-04-02-01-01-01.wav,03,01,male,strong,0,0,04,0.5562312602996826,0.0029265114571899176,2981.679943509976,2517.011003980514,5758.031035632622,0.2889404296875,-60.2860107421875
25,Speech data/Actor_01/03-01-04-02-01-02-01.wav,03,01,male,strong,0,1,04,0.5398127436637878,0.004811277147382498,3339.8201652988328,2596.676186588117,6260.105895996094,0.2684051513671875,-60.612945556640625
26,Speech data/Actor_01/03-01-04-02-02-01-01.wav,03,01,male,strong,1,0,04,0.547933042049408,0.005032614339143038,3159.6436875675317,2480.12387952328,5939.552904211957,0.2777653095885093,-59.544097900390625
27,Speech data/Actor_01/03-01-04-02-02-02-01.wav,03,01,male,strong,1,1,04,0.5335240960121155,0.006125164683908224,3303.2903235879357,2551.687028432408,6144.787066915761,0.30919424495341613,-58.2192497253418
28,Speech data/Actor_01/03-01-05-01-01-01-01.wav,03,01,male,normal,0,0,05,0.5076433420181274,0.008677953854203224,3281.7868519717395,2515.810142638661,6054.762788875374,0.31228655969311375,-52.403076171875
29,Speech data/Actor_01/03-01-05-01-01-02-01.wav,03,01,male,normal,0,1,05,0.5009183883666992,0.009703699499368668,3435.518747208629,2619.287507220351,6348.558277803309,0.3038286994485294,-52.5674934387207
30,Speech data/Actor_01/03-01-05-01-02-01-01.wav,03,01,male,normal,1,0,05,0.5516611933708191,0.006903800647705793,3161.789020565201,2560.1619790232253,5957.923575900249,0.34904348613410596,-54.679351806640625
31,Speech data/Actor_01/03-01-05-01-02-02-01.wav,03,01,male,normal,1,1,05,0.506697416305542,0.010877375490963459,3167.658528269623,2500.146313483119,5891.136633831522,0.3126819681677019,-51.5223388671875
32,Speech data/Actor_01/03-01-05-02-01-01-01.wav,03,01,male,strong,0,0,05,0.48655587434768677,0.053693726658821106,3243.2663240163893,2615.6127478468834,6167.012049788135,0.2602566649011299,-40.226402282714844
33,Speech data/Actor_01/03-01-05-02-01-02-01.wav,03,01,male,strong,0,1,05,0.37780874967575073,0.032857052981853485,3205.724379064679,2463.810197559776,5852.303059895833,0.24293154761904762,-42.310890197753906
34,Speech data/Actor_01/03-01-05-02-02-01-01.wav,03,01,male,strong,1,0,05,0.47684353590011597,0.03282558545470238,3350.746623909255,2463.0103281675433,5948.577437587291,0.2624661749301676,-43.719093322753906
35,Speech data/Actor_01/03-01-05-02-02-02-01.wav,03,01,male,strong,1,1,05,0.4109359383583069,0.09229207038879395,3310.7520146790935,2517.5172428723167,6120.252227783203,0.2357508341471354,-37.61251449584961
36,Speech data/Actor_01/03-01-06-01-01-01-01.wav,03,01,male,normal,0,0,06,0.5114496946334839,0.005953164305537939,2649.1657558193856,2582.259928433759,5392.9839512087265,0.27783510220125784,-54.086341857910156
